PitcherThrows,RelSpeed,SpinRate,RelHeight,ZoneSpeed,ZoneTime,Extension,VertRelAngle,HorzRelAngle,SpinAxis,RelSide,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,VertApprAngle,HorzApprAngle,TaggedPitchNum
496,Left,74.40763,1771.613868,5.96346,68.80718,0.517443,5.08029,-0.649807,2.340197,134.156738,-2.15823,-38.3103,13.3769,-12.18662,2.15787,-0.96658,-7.632622,0.185794,2
497,Left,80.94956,1893.608924,6.53257,74.55847,0.478327,4.91393,-1.872337,3.523472,134.986992,-1.42015,-30.33958,13.82828,-12.46682,2.22991,0.87676,-7.402439,1.329679,0
498,Left,82.24556,2038.013199,6.48736,74.96564,0.47166,5.03208,-1.307107,2.813641,118.82277,-1.52618,-30.91998,12.02536,-19.21273,2.67576,-0.47048,-6.980517,-0.579247,0
499,Left,73.41017,1634.063074,6.22787,67.70443,0.532357,4.65811,0.239106,0.778492,318.263598,-1.57841,-69.04988,-14.34036,14.38422,0.70089,0.3599,-12.046664,3.313876,4
500,Left,72.2466,1511.44488,6.27331,66.11189,0.543898,4.48765,1.399128,1.415652,338.551628,-1.85018,-70.11917,-13.01182,5.88177,1.76407,-0.01066,-11.097638,2.447294,4
501,Left,76.29093,1825.46654,6.1349,70.19073,0.506759,5.1905,-2.798778,3.176097,133.241267,-1.90096,-37.39411,12.18052,-11.2104,0.37972,0.15572,-9.603309,1.189813,2
502,Left,74.77112,1748.999884,5.98851,68.46016,0.517437,5.08067,0.143577,2.302279,115.762726,-2.26794,-42.8542,8.8317,-14.79788,2.55278,-1.32972,-7.675744,-0.314284,2
503,Left,74.88694,1741.84165,6.03815,68.05695,0.517735,5.10343,2.168421,1.235297,100.064212,-2.18268,-47.09869,4.64681,-16.37395,4.15787,-2.38305,-6.441206,-1.660086,2
504,Left,69.72763,1368.179744,6.11828,63.26961,0.564683,4.57996,2.403831,-0.689291,330.754203,-2.02191,-74.51366,-12.95812,8.523,2.19726,-1.96747,-10.947916,0.807977,4
505,Left,81.24059,1946.573072,6.32815,74.10457,0.475689,5.13471,-0.046429,2.181434,126.905794,-2.0295,-30.49525,13.18682,-15.65769,3.74313,-1.27907,-5.668932,-0.588457,0
506,Left,80.48387,1918.915255,6.34836,73.33521,0.482412,4.97176,-1.083798,2.66641,132.696505,-1.96002,-29.63887,15.28674,-14.92213,2.85354,-0.68319,-6.539718,0.035155,0
507,Left,83.00597,1989.759664,6.38897,76.47605,0.463882,5.13685,-1.593041,3.111895,132.038137,-1.55282,-27.35879,14.18174,-14.33331,2.60637,0.18595,-6.614918,0.57807,0
508,Left,74.60623,1620.954978,6.1227,69.09108,0.518465,4.78911,0.379908,3.049238,114.065951,-2.12861,-43.89983,7.99166,-14.53422,2.82495,-0.44723,-7.54647,0.495471,2
523,Left,69.14851,1646.992156,6.24716,63.35129,0.567788,4.37036,3.911544,-0.851347,314.271542,-1.78474,-73.38445,-11.15024,13.48327,3.87367,-1.47426,-9.175946,1.502196,4
524,Left,69.49772,1508.451323,6.28425,64.54345,0.560733,4.60779,1.36728,1.283402,323.910209,-1.83977,-73.98461,-13.28733,11.0239,1.41957,0.29946,-11.786272,3.221791,4
525,Left,69.28766,1627.028651,6.25462,63.47307,0.563601,4.65422,3.77718,-0.000907,308.897075,-1.72433,-70.13476,-8.815,13.34705,4.00388,-0.61294,-8.807791,2.340095,4
526,Left,81.48498,1983.723615,6.45621,74.53627,0.475141,5.064,-1.632994,4.273909,138.420008,-1.43434,-24.79848,18.783,-15.40513,2.84517,1.31937,-6.224772,1.560832,0
